url,sessionid,from_ip,date_created,user,platform_id,combi,req,starts,25,ratio
http://www.onf.ca/film/chat_dans_le_sac/,8517bfbc3d1d366f74ec66867b1e0890,184.163.151.25,"2012-11-26 17:34:18",AnonymousUser,11,http://www.onf.ca/film/chat_dans_le_sac/_184.163.151.25_8517bfbc3d1d366f74ec66867b1e0890,81,78,1,0.0128
http://www.nfb.ca/film/alfred_desrochers_poete/,7170b1c9b4aac874e757190204de3088,70.30.212.174,"2012-11-24 00:00:02",AnonymousUser,2,http://www.nfb.ca/film/alfred_desrochers_poete/_70.30.212.174_7170b1c9b4aac874e757190204de3088,82,81,1,0.0123
http://www.nfb.ca/film/canada_remembers_part_one_turning_the_tide/,b4f2d30dce81930aec16f81fe42be28e,66.97.29.2,"2012-11-29 07:21:05",AnonymousUser,2,http://www.nfb.ca/film/canada_remembers_part_one_turning_the_tide/_66.97.29.2_b4f2d30dce81930aec16f81fe42be28e,83,81,1,0.0123
http://www.nfb.ca/film/up_the_yangtze/trailer/up-the-yangtze-trailer,9a5d6037d4678e7bc55f07170c84bfb0,172.219.185.77,"2012-11-26 15:41:49",AnonymousUser,2,http://www.nfb.ca/film/up_the_yangtze/trailer/up-the-yangtze-trailer_172.219.185.77_9a5d6037d4678e7bc55f07170c84bfb0,83,83,0,0.0000
http://www.nfb.ca/film/is_the_crown_at_war_with_us/,679c16f3784ae74f3420e1cd9d867165,70.53.194.15,"2012-11-24 11:55:16",AnonymousUser,2,http://www.nfb.ca/film/is_the_crown_at_war_with_us/_70.53.194.15_679c16f3784ae74f3420e1cd9d867165,88,86,0,0.0000
http://www.nfb.ca/film/la_ptite_bourgogne/,1126e91eafa4e13031c238122747ebe1,70.53.190.107,"2012-11-26 17:45:44",AnonymousUser,2,http://www.nfb.ca/film/la_ptite_bourgogne/_70.53.190.107_1126e91eafa4e13031c238122747ebe1,92,88,1,0.0114
http://www.nfb.ca/film/finding_dawn/,b3916da14dba408e603f856f3fb858ae,68.150.216.119,"2012-11-29 00:01:27",AnonymousUser,2,http://www.nfb.ca/film/finding_dawn/_68.150.216.119_b3916da14dba408e603f856f3fb858ae,95,92,1,0.0109
http://www.onf.ca/film/bataille_de_la_chateauguay/,799c0912fe95f157e53ff7ae5d9b2cfa,135.19.212.105,"2012-11-26 11:43:40",AnonymousUser,11,http://www.onf.ca/film/bataille_de_la_chateauguay/_135.19.212.105_799c0912fe95f157e53ff7ae5d9b2cfa,95,94,0,0.0000
http://www.nfb.ca/film/exile_a_myth_unearthed/trailer/exile_trailer,08e8e4ad69fafb0a8439b14c66e7ca06,99.237.239.150,"2012-11-27 15:24:18",AnonymousUser,2,http://www.nfb.ca/film/exile_a_myth_unearthed/trailer/exile_trailer_99.237.239.150_08e8e4ad69fafb0a8439b14c66e7ca06,99,99,0,0.0000
http://www.nfb.ca/film/and_music/trailer/and_music_trailer,bd0ad9dc64d5d1f4a28b8b1eab6f5fee,99.255.82.228,"2012-11-26 13:52:18",AnonymousUser,2,http://www.nfb.ca/film/and_music/trailer/and_music_trailer_99.255.82.228_bd0ad9dc64d5d1f4a28b8b1eab6f5fee,101,101,0,0.0000
